File	/Users/minjaesong/Downloads/MONOTONE-master/NO_ROADS.MON
Length	34 patterns
voices	4
Order list:
02 00 01 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1E 1E 1F 

Order 02
rw | nnn edd | nnn edd | nnn edd | nnn edd
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 08
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-4 230 | === 000 | === 000 | === F02
01 | ... 208 | ... 000 | ... 000 | ... 000
02 | ... 208 | ... 000 | ... 000 | ... 000
03 | === 208 | ... 000 | ... 000 | ... 000
04 | C-3 208 | ... 000 | ... 000 | ... 000
05 | ... 208 | ... 000 | ... 000 | ... 000
06 | ... 208 | ... 000 | ... 000 | ... 000
07 | === 208 | ... 000 | ... 000 | ... 000
08 | C-3 208 | ... 000 | ... 000 | ... 000
09 | ... 208 | ... 000 | ... 000 | ... 000
0A | ... 208 | ... 000 | ... 000 | ... 000
0B | === 208 | ... 000 | ... 000 | ... 000
0C | G-2 208 | ... 000 | ... 000 | ... 000
0D | ... 208 | ... 000 | ... 000 | ... 000
0E | ... 208 | ... 000 | ... 000 | ... 000
0F | ... 208 | ... 000 | ... 000 | ... 000
10 | F-3 210 | ... 000 | ... 000 | ... 000
11 | === 210 | ... 000 | ... 000 | ... 000
12 | F-3 210 | ... 000 | ... 000 | ... 000
13 | === 210 | ... 000 | ... 000 | ... 000
14 | D-3 210 | ... 000 | ... 000 | ... 000
15 | ... 210 | ... 000 | ... 000 | ... 000
16 | D-3 210 | ... 000 | ... 000 | ... 000
17 | ... 210 | ... 000 | ... 000 | ... 000
18 | G-2 210 | ... 000 | ... 000 | ... 000
19 | === 210 | ... 000 | ... 000 | ... 000
1A | G-2 210 | ... 000 | ... 000 | ... 000
1B | === 210 | ... 000 | ... 000 | ... 000
1C | E-2 210 | ... 000 | ... 000 | ... 000
1D | ... 210 | ... 000 | ... 000 | ... 000
1E | E-2 210 | ... 000 | ... 000 | ... 000
1F | ... 210 | ... D00 | ... 000 | ... 000
20 | ... 000 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | ... 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | ... 000 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 09
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-2 000 | C-1 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | C-2 000 | C-1 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | C-2 000 | C-1 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | A#4 000 | D#4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | A#4 000 | D#4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | A#4 000 | D#4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | C-2 000 | C-3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | C-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | ... 000 | C-4 210 | ... 000 | ... 000
31 | ... 000 | ... 210 | ... 000 | ... 000
32 | ... 000 | ... 210 | ... 000 | ... 000
33 | ... 000 | ... 210 | ... 000 | ... 000
34 | A#3 000 | D-4 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | C-4 000 | D#4 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | D-4 000 | A#4 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 0A
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-2 000 | C-1 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | C-2 000 | C-1 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | C-2 000 | C-1 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | F-4 000 | A-4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | F-4 000 | A-4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | C-4 000 | F-4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | C-2 000 | C-3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | C-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | ... 000 | C-4 210 | ... 000 | ... 000
31 | ... 000 | ... 210 | ... 000 | ... 000
32 | ... 000 | ... 210 | ... 000 | ... 000
33 | ... 000 | ... 210 | ... 000 | ... 000
34 | C-3 000 | C-4 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | F-3 000 | F-4 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | G-3 000 | G-4 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 0B
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-2 000 | C-1 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | C-2 000 | C-1 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | C-2 000 | C-1 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | D#4 000 | G#4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | D#4 000 | G#4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | C-4 000 | D#4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | C-2 000 | C-3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | C-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | ... 000 | C-4 210 | ... 000 | ... 000
31 | ... 000 | ... 210 | ... 000 | ... 000
32 | ... 000 | ... 210 | ... 000 | ... 000
33 | ... 000 | ... 210 | ... 000 | ... 000
34 | D-4 000 | F-4 000 | ... 000 | ... 000
35 | === 000 | === 000 | ... 000 | ... 000
36 | D-4 000 | F-4 000 | ... 000 | ... 000
37 | === 000 | === 000 | ... 000 | ... 000
38 | D-4 000 | F-4 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | D#4 000 | G-4 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

Order 0C
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-3 000 | C-2 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | C-3 000 | C-2 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | C-2 000 | C-1 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | A#3 000 | D#4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | A#3 000 | D#4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | A#3 000 | D#4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | A#4 000 | A#3 000 | ... 000 | ... 000
25 | === 000 | === 000 | ... 000 | ... 000
26 | A#4 000 | A#3 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | C-5 000 | C-4 000 | ... 000 | ... 000
29 | === 000 | === 000 | ... 000 | ... 000
2A | C-5 000 | C-4 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | A#5 000 | A#4 000 | ... 000 | ... 000
2D | === 000 | === 000 | ... 000 | ... 000
2E | A#5 000 | A#4 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | F-5 000 | F-4 000 | ... 000 | ... 000
31 | === 000 | === 000 | ... 000 | ... 000
32 | F-5 000 | F-4 000 | ... 000 | ... 000
33 | === 000 | === 000 | ... 000 | ... 000
34 | G-5 000 | G-4 000 | ... 000 | ... 000
35 | === 000 | === 000 | ... 000 | ... 000
36 | G-5 000 | G-4 000 | ... 000 | ... 000
37 | === 000 | === 000 | ... 000 | ... 000
38 | D#6 000 | D#5 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | C-6 000 | C-5 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

Order 0D
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-2 000 | C-1 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | D-6 000 | ... 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | D#6 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | A#5 000 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | A#4 000 | D#4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | ... 000 | ... 000 | ... 000
1C | G-5 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | C-2 000 | C-3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | C-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | ... 000 | C-4 210 | ... 000 | ... 000
31 | ... 000 | ... 210 | ... 000 | ... 000
32 | ... 000 | ... 210 | ... 000 | ... 000
33 | ... 000 | ... 210 | ... 000 | ... 000
34 | A#3 000 | D-5 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | C-4 000 | D#5 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | D#5 000 | A#5 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 0E
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-5 000 | A-5 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | C-2 000 | C-1 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | C-5 000 | G-5 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | A-4 000 | F-5 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | F-4 000 | A-4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | C-4 000 | F-4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | C-2 000 | C-3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | C-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | ... 000 | C-4 210 | ... 000 | ... 000
31 | ... 000 | ... 210 | ... 000 | ... 000
32 | ... 000 | ... 210 | ... 000 | ... 000
33 | ... 000 | ... 210 | ... 000 | ... 000
34 | C-5 000 | A-5 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | F-5 000 | A#5 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | G-5 000 | F-6 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 0F
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | D-6 F02 | C-3 210 | ... 000 | ... 000
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | ... 000 | C-1 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | G#5 000 | D#6 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | D#5 000 | C-6 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | D#4 000 | G#4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | D#4 000 | G#4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | C-4 000 | D#4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | D#6 000 | === 000 | ... 000 | ... 000
25 | F-6 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000 | ... 000
29 | E-6 000 | ... 000 | ... 000 | ... 000
2A | D#6 000 | ... 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | D-6 000 | F-5 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 437 | === 000 | ... 000 | ... 000
30 | ... 400 | C-4 210 | ... 000 | ... 000
31 | ... 400 | ... 210 | ... 000 | ... 000
32 | ... 400 | ... 210 | ... 000 | ... 000
33 | ... 400 | ... 210 | ... 000 | ... 000
34 | G-5 000 | === 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | === 000 | ... 000 | ... 000 | ... 000
38 | A#5 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | C-6 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 10
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === F02 | C-3 210 | ... 000 | ... 000
